id,bairro,titulo,preco,tags,descricao_longa
229,Itaim Bibi,Imóvel 229 em Moema,1853082,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
230,Pinheiros,Imóvel 230 em Vila Mariana,1362814,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
231,Vila Mariana,Imóvel 231 em Pinheiros,1224627,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
232,Moema,Imóvel 232 em Moema,806676,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
233,Pinheiros,Imóvel 233 em Itaim Bibi,2480576,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
234,Jardins,Imóvel 234 em Moema,1637485,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
235,Vila Mariana,Imóvel 235 em Vila Mariana,2360165,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
236,Jardins,Imóvel 236 em Vila Mariana,2801566,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
237,Pinheiros,Imóvel 237 em Moema,1873676,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
238,Jardins,Imóvel 238 em Itaim Bibi,783646,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
239,Pinheiros,Imóvel 239 em Moema,1223391,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
240,Pinheiros,Imóvel 240 em Vila Mariana,2438932,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
241,Pinheiros,Imóvel 241 em Pinheiros,461469,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
242,Itaim Bibi,Imóvel 242 em Pinheiros,722781,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
243,Pinheiros,Imóvel 243 em Itaim Bibi,2691265,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
244,Vila Mariana,Imóvel 244 em Vila Mariana,1371228,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
245,Jardins,Imóvel 245 em Itaim Bibi,1916958,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
246,Jardins,Imóvel 246 em Moema,2462979,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
247,Itaim Bibi,Imóvel 247 em Pinheiros,2512053,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
248,Itaim Bibi,Imóvel 248 em Moema,1520789,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
249,Pinheiros,Imóvel 249 em Vila Mariana,399019,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
250,Itaim Bibi,Imóvel 250 em Vila Mariana,1683281,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
251,Vila Mariana,Imóvel 251 em Moema,2227430,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
252,Vila Mariana,Imóvel 252 em Moema,2905069,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
253,Vila Mariana,Imóvel 253 em Pinheiros,1628084,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
254,Pinheiros,Imóvel 254 em Vila Mariana,1004104,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
255,Itaim Bibi,Imóvel 255 em Moema,2598201,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
256,Itaim Bibi,Imóvel 256 em Jardins,2806693,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
257,Pinheiros,Imóvel 257 em Vila Mariana,1748521,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
258,Moema,Imóvel 258 em Itaim Bibi,1763494,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
259,Pinheiros,Imóvel 259 em Vila Mariana,2570904,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
260,Pinheiros,Imóvel 260 em Pinheiros,2234615,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
261,Moema,Imóvel 261 em Vila Mariana,436515,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
262,Jardins,Imóvel 262 em Moema,2593188,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
263,Jardins,Imóvel 263 em Vila Mariana,516051,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
264,Itaim Bibi,Imóvel 264 em Itaim Bibi,2582540,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
265,Itaim Bibi,Imóvel 265 em Itaim Bibi,1160793,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
266,Itaim Bibi,Imóvel 266 em Moema,1470810,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
267,Vila Mariana,Imóvel 267 em Moema,393718,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
268,Jardins,Imóvel 268 em Moema,1809879,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
269,Pinheiros,Imóvel 269 em Itaim Bibi,927002,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
270,Itaim Bibi,Imóvel 270 em Pinheiros,1696835,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
271,Pinheiros,Imóvel 271 em Moema,1760009,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
272,Jardins,Imóvel 272 em Pinheiros,2540088,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
273,Moema,Imóvel 273 em Moema,778116,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
274,Vila Mariana,Imóvel 274 em Jardins,1489490,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
275,Jardins,Imóvel 275 em Pinheiros,2481956,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
276,Itaim Bibi,Imóvel 276 em Itaim Bibi,1625051,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
277,Itaim Bibi,Imóvel 277 em Moema,1723594,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
278,Vila Mariana,Imóvel 278 em Vila Mariana,1158968,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
279,Moema,Imóvel 279 em Pinheiros,2138306,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
280,Itaim Bibi,Imóvel 280 em Itaim Bibi,1670217,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
281,Moema,Imóvel 281 em Itaim Bibi,979541,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
282,Pinheiros,Imóvel 282 em Moema,1385961,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
283,Pinheiros,Imóvel 283 em Itaim Bibi,2473176,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
284,Itaim Bibi,Imóvel 284 em Jardins,2407654,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
285,Pinheiros,Imóvel 285 em Jardins,1097334,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
286,Jardins,Imóvel 286 em Pinheiros,607557,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
287,Pinheiros,Imóvel 287 em Vila Mariana,1620187,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
288,Jardins,Imóvel 288 em Itaim Bibi,1199149,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
289,Moema,Imóvel 289 em Vila Mariana,1591402,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
290,Pinheiros,Imóvel 290 em Vila Mariana,1784986,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
291,Itaim Bibi,Imóvel 291 em Pinheiros,1086079,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
292,Moema,Imóvel 292 em Pinheiros,1470752,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
293,Itaim Bibi,Imóvel 293 em Vila Mariana,1365906,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
294,Itaim Bibi,Imóvel 294 em Vila Mariana,688235,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
295,Vila Mariana,Imóvel 295 em Itaim Bibi,2046751,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
296,Vila Mariana,Imóvel 296 em Itaim Bibi,1866855,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
297,Itaim Bibi,Imóvel 297 em Itaim Bibi,1316693,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
298,Pinheiros,Imóvel 298 em Moema,2632131,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
299,Jardins,Imóvel 299 em Jardins,757351,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
300,Itaim Bibi,Imóvel 300 em Vila Mariana,2383304,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
301,Pinheiros,Imóvel 301 em Jardins,2319734,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
302,Itaim Bibi,Imóvel 302 em Moema,741891,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
303,Pinheiros,Imóvel 303 em Moema,2495831,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
304,Vila Mariana,Imóvel 304 em Jardins,912029,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
305,Itaim Bibi,Imóvel 305 em Pinheiros,1128802,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
306,Moema,Imóvel 306 em Vila Mariana,2285404,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
307,Itaim Bibi,Imóvel 307 em Pinheiros,2034624,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
308,Jardins,Imóvel 308 em Pinheiros,679198,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
309,Vila Mariana,Imóvel 309 em Itaim Bibi,2034791,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
310,Jardins,Imóvel 310 em Moema,988938,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
311,Itaim Bibi,Imóvel 311 em Pinheiros,2200589,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
312,Vila Mariana,Imóvel 312 em Pinheiros,386232,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
313,Moema,Imóvel 313 em Itaim Bibi,515042,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
314,Vila Mariana,Imóvel 314 em Vila Mariana,1825385,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
315,Moema,Imóvel 315 em Vila Mariana,734390,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
316,Moema,Imóvel 316 em Moema,1991314,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
317,Vila Mariana,Imóvel 317 em Pinheiros,2808591,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
318,Jardins,Imóvel 318 em Itaim Bibi,2539364,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
319,Itaim Bibi,Imóvel 319 em Itaim Bibi,1014872,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
320,Jardins,Imóvel 320 em Moema,2570844,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
321,Itaim Bibi,Imóvel 321 em Moema,2349852,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
322,Vila Mariana,Imóvel 322 em Pinheiros,1759938,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
323,Jardins,Imóvel 323 em Jardins,914736,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
324,Itaim Bibi,Imóvel 324 em Vila Mariana,1927414,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
325,Jardins,Imóvel 325 em Pinheiros,1093316,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
326,Vila Mariana,Imóvel 326 em Jardins,443706,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
327,Itaim Bibi,Imóvel 327 em Vila Mariana,779698,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
328,Vila Mariana,Imóvel 328 em Pinheiros,2064422,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
329,Itaim Bibi,Imóvel 329 em Jardins,1455239,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
330,Moema,Imóvel 330 em Vila Mariana,311655,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
331,Vila Mariana,Imóvel 331 em Vila Mariana,2541531,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
332,Itaim Bibi,Imóvel 332 em Vila Mariana,2361457,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
333,Itaim Bibi,Imóvel 333 em Vila Mariana,1645852,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
334,Vila Mariana,Imóvel 334 em Jardins,1729381,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
335,Itaim Bibi,Imóvel 335 em Moema,350837,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
336,Jardins,Imóvel 336 em Vila Mariana,457892,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
337,Pinheiros,Imóvel 337 em Pinheiros,812032,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
338,Itaim Bibi,Imóvel 338 em Vila Mariana,2551555,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
339,Pinheiros,Imóvel 339 em Moema,2436970,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
340,Itaim Bibi,Imóvel 340 em Pinheiros,1153677,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
341,Itaim Bibi,Imóvel 341 em Jardins,1265110,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
342,Moema,Imóvel 342 em Moema,848592,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
343,Moema,Imóvel 343 em Itaim Bibi,2311214,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
344,Jardins,Imóvel 344 em Itaim Bibi,1481506,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
345,Pinheiros,Imóvel 345 em Itaim Bibi,1839500,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
346,Moema,Imóvel 346 em Itaim Bibi,1572940,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
347,Vila Mariana,Imóvel 347 em Jardins,568974,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
348,Pinheiros,Imóvel 348 em Itaim Bibi,1870259,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
349,Jardins,Imóvel 349 em Moema,1253050,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
350,Moema,Imóvel 350 em Vila Mariana,1026270,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
351,Itaim Bibi,Imóvel 351 em Itaim Bibi,2210898,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
352,Jardins,Imóvel 352 em Itaim Bibi,2111553,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
353,Itaim Bibi,Imóvel 353 em Moema,1081162,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
354,Jardins,Imóvel 354 em Pinheiros,1912679,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
355,Moema,Imóvel 355 em Moema,2030652,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
356,Moema,Imóvel 356 em Moema,2951029,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
357,Itaim Bibi,Imóvel 357 em Itaim Bibi,1050218,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
358,Jardins,Imóvel 358 em Moema,2334680,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
359,Pinheiros,Imóvel 359 em Jardins,1077429,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
360,Itaim Bibi,Imóvel 360 em Pinheiros,1478232,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
361,Moema,Imóvel 361 em Pinheiros,2584048,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
362,Pinheiros,Imóvel 362 em Vila Mariana,2622279,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
363,Moema,Imóvel 363 em Vila Mariana,1176372,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
364,Itaim Bibi,Imóvel 364 em Pinheiros,1423865,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
365,Jardins,Imóvel 365 em Moema,1837697,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
366,Moema,Imóvel 366 em Moema,1935383,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
367,Pinheiros,Imóvel 367 em Pinheiros,2034796,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
368,Itaim Bibi,Imóvel 368 em Jardins,748748,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
369,Itaim Bibi,Imóvel 369 em Itaim Bibi,1652467,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
370,Itaim Bibi,Imóvel 370 em Itaim Bibi,1267996,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
371,Jardins,Imóvel 371 em Pinheiros,806550,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
372,Vila Mariana,Imóvel 372 em Vila Mariana,2050771,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
373,Jardins,Imóvel 373 em Moema,2633740,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
374,Pinheiros,Imóvel 374 em Moema,1020521,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
375,Moema,Imóvel 375 em Moema,2035903,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
376,Jardins,Imóvel 376 em Vila Mariana,2775508,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
377,Itaim Bibi,Imóvel 377 em Itaim Bibi,548727,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
378,Jardins,Imóvel 378 em Jardins,2384377,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
379,Pinheiros,Imóvel 379 em Pinheiros,1082860,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
380,Itaim Bibi,Imóvel 380 em Itaim Bibi,1733782,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
381,Vila Mariana,Imóvel 381 em Jardins,2164500,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
382,Moema,Imóvel 382 em Itaim Bibi,2215229,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
383,Itaim Bibi,Imóvel 383 em Vila Mariana,435828,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
384,Moema,Imóvel 384 em Itaim Bibi,1919461,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
385,Vila Mariana,Imóvel 385 em Itaim Bibi,1705619,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
386,Moema,Imóvel 386 em Vila Mariana,1078231,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
387,Moema,Imóvel 387 em Pinheiros,2620779,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
388,Pinheiros,Imóvel 388 em Itaim Bibi,2450586,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
389,Jardins,Imóvel 389 em Itaim Bibi,1514655,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
390,Pinheiros,Imóvel 390 em Vila Mariana,1892842,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
391,Pinheiros,Imóvel 391 em Jardins,690969,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
392,Moema,Imóvel 392 em Itaim Bibi,2992931,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
393,Vila Mariana,Imóvel 393 em Pinheiros,2947500,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
394,Jardins,Imóvel 394 em Pinheiros,626006,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
395,Itaim Bibi,Imóvel 395 em Itaim Bibi,2611922,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
396,Moema,Imóvel 396 em Jardins,574269,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
397,Jardins,Imóvel 397 em Vila Mariana,347188,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
398,Itaim Bibi,Imóvel 398 em Jardins,2377327,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
399,Vila Mariana,Imóvel 399 em Vila Mariana,1369318,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
400,Itaim Bibi,Imóvel 400 em Pinheiros,2204308,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
401,Vila Mariana,Imóvel 401 em Itaim Bibi,316745,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
402,Itaim Bibi,Imóvel 402 em Moema,1995029,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
403,Jardins,Imóvel 403 em Moema,2156139,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
404,Moema,Imóvel 404 em Itaim Bibi,2591062,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
405,Moema,Imóvel 405 em Moema,2842043,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
406,Vila Mariana,Imóvel 406 em Vila Mariana,2357517,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
407,Pinheiros,Imóvel 407 em Pinheiros,1246439,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
408,Vila Mariana,Imóvel 408 em Moema,1081457,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
409,Pinheiros,Imóvel 409 em Itaim Bibi,1679387,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
410,Vila Mariana,Imóvel 410 em Itaim Bibi,2132531,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
411,Jardins,Imóvel 411 em Itaim Bibi,2340742,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
412,Vila Mariana,Imóvel 412 em Itaim Bibi,1948146,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
413,Moema,Imóvel 413 em Jardins,1976475,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
414,Pinheiros,Imóvel 414 em Itaim Bibi,2489703,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
415,Jardins,Imóvel 415 em Jardins,1606492,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
416,Jardins,Imóvel 416 em Itaim Bibi,1937702,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
417,Jardins,Imóvel 417 em Pinheiros,2990909,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
418,Moema,Imóvel 418 em Vila Mariana,1357991,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
419,Jardins,Imóvel 419 em Vila Mariana,1886444,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
420,Moema,Imóvel 420 em Itaim Bibi,1901868,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
421,Pinheiros,Imóvel 421 em Moema,794755,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
422,Moema,Imóvel 422 em Itaim Bibi,2308763,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
423,Moema,Imóvel 423 em Pinheiros,1333374,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
424,Moema,Imóvel 424 em Itaim Bibi,1635209,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
425,Jardins,Imóvel 425 em Moema,2729465,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
426,Jardins,Imóvel 426 em Moema,2659628,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
427,Vila Mariana,Imóvel 427 em Vila Mariana,1324032,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
428,Moema,Imóvel 428 em Pinheiros,2239848,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
429,Moema,Imóvel 429 em Jardins,1828419,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
430,Moema,Imóvel 430 em Moema,1038087,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
431,Itaim Bibi,Imóvel 431 em Vila Mariana,1842493,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
432,Pinheiros,Imóvel 432 em Moema,1752270,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
433,Itaim Bibi,Imóvel 433 em Itaim Bibi,1710101,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
434,Vila Mariana,Imóvel 434 em Vila Mariana,2616125,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
435,Itaim Bibi,Imóvel 435 em Pinheiros,1859043,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
436,Pinheiros,Imóvel 436 em Itaim Bibi,2681350,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
437,Pinheiros,Imóvel 437 em Vila Mariana,1502616,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
438,Moema,Imóvel 438 em Itaim Bibi,663059,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
439,Pinheiros,Imóvel 439 em Moema,1627189,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
440,Jardins,Imóvel 440 em Pinheiros,1665331,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
441,Moema,Imóvel 441 em Jardins,376486,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
442,Jardins,Imóvel 442 em Vila Mariana,2909912,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
443,Moema,Imóvel 443 em Jardins,676461,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
444,Pinheiros,Imóvel 444 em Pinheiros,2699748,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
445,Pinheiros,Imóvel 445 em Itaim Bibi,2164118,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
446,Moema,Imóvel 446 em Vila Mariana,2896491,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
447,Itaim Bibi,Imóvel 447 em Pinheiros,591988,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
448,Vila Mariana,Imóvel 448 em Itaim Bibi,727573,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
449,Jardins,Imóvel 449 em Itaim Bibi,969373,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
450,Vila Mariana,Imóvel 450 em Itaim Bibi,2631940,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
451,Pinheiros,Imóvel 451 em Moema,575830,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
452,Vila Mariana,Imóvel 452 em Jardins,2430537,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
453,Moema,Imóvel 453 em Pinheiros,2307064,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
454,Itaim Bibi,Imóvel 454 em Vila Mariana,2117078,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
455,Moema,Imóvel 455 em Pinheiros,315700,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
456,Vila Mariana,Imóvel 456 em Moema,1196037,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
457,Itaim Bibi,Imóvel 457 em Itaim Bibi,447779,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
